Key,Value,en
template1,现在开始做网红会太晚吗？,Is it too late to start becoming an influencer now?
template2,人生迷茫，该不该gap一下？,Feeling lost in life — should I take a gap break?
template3,坚守金饭碗还是追逐梦想，即便前路坎坷？,"Stick with the secure job or chase my dreams, even if the road is tough?"
template4,心里正在想的事，要不要去做？,Should I act on what I'm thinking about right now?
template5,对现在的工作不满意，我适合创业吗？,I'm not satisfied with my current job — am I suited for entrepreneurship?
template6,我现在适合辞职吗？,Is now the right time for me to resign?
personality_rating_label[0],非常不符合,Strongly disagree
personality_rating_label[1],不太符合,Disagree
personality_rating_label[2],中立,Neutral
personality_rating_label[3],比较符合,Agree
personality_rating_label[4],非常符合,Strongly agree
